word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
a t u x m a n	64022	485130	7
a t u x m a n t a	107978	1276726	9
a t u x m a ɴ q a	76334	893798	9
a t u x p a x	66285	413552	7
a t u x p i s	75957	529937	7
a t u x q a	57530	261828	6
a t u x r i	78100	421372	6
a t u x s i t u	106243	1054334	8
a t u x s i t u t a	165258	2298624	10
a t u x t a	67118	327912	6
a t u x t a q a	91868	824242	8
a t u x t a t a x	115070	1302510	9
a t u x t a x	78440	496382	7
a t u x w a n	87703	645508	7
a w a n	33048	65124	4
a w a n a s m a n t a	129654	2420550	11
a w a n i	47304	161028	5
a w a n t a ʧ u	120960	1215356	8
a w a n t a k u ŋ k u	188619	3652839	11
a w a n t a ʎ a n	132444	1653846	9
a w a n t a n	98982	699255	7
a w a n t a n a p a x ʧ u	171061	4905548	13
a w a n t a ɲ ʧ u	151559	1899526	9
a w a n t a ɴ q a p u n i	179880	4760806	13
a w a n t a r i ʎ a n	200124	3753270	11
a w a n t a r p a ʧ i ɲ ʧ u	270713	8762951	14
a w a n t a j	88992	542700	7
a w a n t a j t a	112968	1393683	9
a w a ŋ k u	64403	355013	6
a w a r e r̞ q a n i	149030	2303573	10
a w a r i ŋ k u ɲ a p u n i	251346	7676433	14
a w a r i s a x	103896	822546	8
a w a s p a	49680	242784	6
a w a s q a	48816	237708	6
a w a s q a s n i ŋ k u t a	210630	6194384	14
a w a s q a s p i	85824	1092744	9
a w a s q a j k u t a	143395	2536314	11
a w a x	22680	39204	4
a w a x k u n a m a n t a	174050	4517729	13
a w a j k u n a p e q a	150463	3166286	12
a w a j t a	47304	261144	6
a w a j t a m u s q a ŋ k u	159485	5441919	14
a w h a t a	45342	254898	6
a w i ʧ i t a	117672	713424	7
a w i ʧ i t a w a n	174696	2589615	10
a w i ʧ i t o q a	151474	1567471	9
a w i ʧ i t u ɲ a	176885	1841890	9
a w i ʧ i t u t a x	197777	2477278	10
a w i ʧ u	73272	227550	5
a w i ʧ u s n i ɲ ʧ i x t a	262122	7687289	14
a w i ʧ u s p i s	147072	1604872	9
a w i l i t u s n i j k u	242814	6399488	13
a w i n a m p a x	95346	1019743	9
a w i r i ŋ k u	147857	1354184	8
a w i r i x m a ɴ q a	135876	2173150	11
a w k i s	73080	195768	5
a w p a t a	63000	311112	6
a x ʎ a k o r̞ q a	117510	1218084	9
a x ʎ a k u n	95235	617666	7
a x ʎ a k u n a m p a x	149487	2813743	12
a x ʎ a k u ŋ k a	122920	1319038	9
a x ʎ a n a	52902	232881	6
a x ʎ a n a ʎ a t a x	131652	2199074	11
a x ʎ a n a n	72504	492690	7
a x ʎ a n a p a x	84726	890114	9
a x ʎ a n a p e q a	99706	1386410	10
a x ʎ a n a t a	86868	758470	8
a x ʎ a ɲ ʧ i x	104220	799442	8
a x ʎ a n i	56466	267051	6
a x ʎ a n m a ɲ ʧ u	129293	1928391	10
a x ʎ a ŋ k u	73745	523286	7
a x ʎ a r i n a p a x	150930	2318306	11
a x ʎ a r p a w a ŋ k u	173141	3966622	12
