word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
j a rʲ j a	121770	368649	5
ʃ ʊ w ʊ	54912	115269	4
ʃ aa r t ɮ ə ɢ ə tʰ a i	334178	6059476	11
s i tʰ g ə ɮʲ i ŋ	219404	1813246	8
p a j ə r	100470	320990	5
x u m u s i g	154737	1122091	7
m a g ə t g u i	194532	1780934	8
m ɔ ɴ ɢ ə ɮ ʧʰ ʊ t	221989	2632057	9
o g ɮ o	92278	214312	4
u ɮ t s ə ŋ	132571	653514	6
χ ʊ r t ə ŋ	138491	594562	6
a s ə r	75110	155696	4
a mʲ t r ə χ	133652	627124	6
ʊ n ʃ ə ʧ	96441	331302	5
tʰ a w ə ŋ	80366	263544	5
a ʧ ɮ ə g	125171	383858	5
ʊ s ə ŋ	59015	106931	4
ʦ a m a r	84150	323960	5
j a w a t	80652	284979	5
p ɔ ɮ ə χ ə g	193917	1235823	7
s uu ɮʲ i ŋ	121278	323755	5
oo rʲ i ŋ x o	140415	872082	6
u ʦ ə x	82880	167129	4
x u m u s tʰ	125911	658594	6
tʰ a wʲ ʧ	57915	121275	4
m a ɮ tʰ m ə ɮ ə ŋ	243793	2634065	9
ɢ a r ə ŋ	107041	289309	5
x o ɮ	52503	52503	3
tʰ a n	28512	28512	3
x i tʲ i	71874	143748	4
n a m ə ŋ	73150	232534	5
ʧʰ a n ə r	99333	369174	5
p ɔ t ɮ ɔ	123287	401654	5
nʲ ii tʰ	29696	29696	3
ʧ i ŋ x ə n	107745	577170	6
p a i ɢ ʊ ɮ ə χ	195561	1670817	8
x u r s ə ŋ	148185	674326	6
i ʧ ə ɮ	85470	170940	4
i t g e r	106575	382670	5
ɔ t ɔ gʲ i ŋ	135861	645514	6
ɢ a ɮ	31746	31746	3
a ʦ i ŋ	58080	105270	4
i r x tʰ e	120549	419538	5
i ʦ ə n tʰ	103008	331399	5
pʲ i ʧʰ gʲ i ŋ	97647	438746	6
a i m ə g	84575	305642	5
χ a ŋ	19602	19602	3
s ɔ ŋ g ʊ ɮʲ i ŋ	187022	1673680	8
n o ɮ o	111370	204250	4
n i rʲ i g	120417	340950	5
ʦ ʊʊ ŋ	22528	22528	3
ɢ a r a t	109890	324578	5
p a i χ ə g	116388	550564	6
χ ʊʊ ʧʰ ə ŋ	94446	269249	5
p ʊ r ʊ	68376	121506	4
p a i ɢ ʊ ɮ ʧ	153714	1046050	7
p a i ɢ ʊ ɮ ə ɢ t s ə ŋ	304257	6244676	12
p ɔ ɮ ɢ ə χ	135901	627818	6
s i tʰ g ə g t ə ɮ	235666	2916750	9
i x ɮ ə ŋ	115588	332464	5
x i ɮ p ə ɮ	131350	730600	6
tʰ o m ə r	108400	411874	5
p a i g a g u i	186780	1697282	8
a ʧʰ	0	0	2
tʰʲ ii m	25600	25600	3
j i r ə ŋ xʲ i	158125	1103584	7
ɮ a m	30525	30525	3
χ aa n	23328	23328	3
p u tʰ e ɮ	119584	370584	5
pʲ i ʧʰ ə x	105633	316206	5
p a i n a	83853	260766	5
ɔ χ	0	0	2
u s ə g	70818	141636	4
ʊ ɮʲ ə r ə ɮ t	249935	1646781	7
i r g ə t	108373	370030	5
ʊʊ ɮ ə ŋ	73926	126022	4
e n t	32643	32643	3
tʰʲ ii m e s	85075	304691	5
a w t ə g	89683	300510	5
ɔ ɮʲ ə m pʰʲ ə ŋ	161394	1141998	7
n ʊʊ r	31968	31968	3
i ʦ ə m ʃ ə g ʧʰ	194694	1845857	8
ɢ a r ə ɮ tʰ a i	245304	2095594	8
g i r ə ɮ	131239	411514	5
p ɔ ɮ ɢ ə s ə ŋ	201132	1714320	8
j a w a	54054	112464	4
χ a tʰ ʊ	63360	121275	4
tʰ a ɮ a s	114774	351268	5
m a ʃ ə ŋ	88660	252778	5
n ʊʊ ʦʰ	26784	26784	3
t ee ʃ	35557	35557	3
a ʃ ə g	71114	136190	4
ʊ tʰ ɢ	27456	27456	3
m ɔ t	31775	31775	3
m a ɮ	30525	30525	3
t a r a χ	111111	331302	5
t e t	37479	37479	3
aa t	0	0	2
